session,colors,willbuy
S001,purple-black-yellow,1
S002,red-blue-green,1
S003,blue-white-red-black,0
S004,green-yellow-white,1
S005,black-red-purple,0
S006,blue-green-yellow-red,1
S007,white-black-purple-yellow,1
S008,red-purple-blue,0
S009,yellow-white-green-black,1
S010,purple-blue-red-white,0
S011,black-yellow-green,1
S012,red-white-blue,1
S013,green-black-purple-yellow,0
S014,blue-red-yellow,1
S015,white-purple-green-red,1
S016,yellow-black-blue,0
S017,purple-green-white,1
S018,red-yellow-black,1
S019,blue-purple-white-green,0
S020,black-yellow-red,1
S021,white-blue-green,1
S022,red-purple-black-yellow,0
S023,green-white-blue,1
S024,yellow-red-purple,1
S025,black-white-green-red,0
S026,blue-yellow-purple,1
S027,white-green-black,1
S028,red-blue-yellow-white,0
S029,purple-black-red,1
S030,green-yellow-white,1
S031,blue-red-black-purple,0
S032,white-yellow-green,1
S033,red-black-blue,1
S034,purple-white-yellow-green,0
S035,yellow-blue-red,1
S036,green-purple-black,1
S037,black-white-yellow,0
S038,red-green-blue,1
S039,white-black-purple,1
S040,blue-yellow-red-green,0
S041,purple-red-white,1
S042,yellow-green-black,1
S043,black-blue-red,0
S044,green-white-purple,1
S045,red-yellow-blue,1
S046,white-black-green-red,0
S047,blue-purple-yellow,1
S048,yellow-red-black,1
S049,purple-green-white,0
S050,black-blue-yellow-red,1
S051,white-red-purple,1
S052,green-black-blue,0
S053,red-white-yellow,1
S054,blue-green-purple,1
S055,yellow-black-red-white,0
S056,purple-blue-green,1
S057,black-red-yellow,1
S058,white-purple-blue,0
S059,green-yellow-red,1
S060,blue-black-white-purple,1
S061,red-green-yellow,0
S062,yellow-white-purple,1
S063,black-red-blue,1
S064,purple-yellow-green,0
S065,white-blue-black,1
S066,red-green-purple-yellow,1
S067,blue-yellow-white,0
S068,green-black-red,1
S069,yellow-purple-blue,1
S070,black-white-red-green,0
S071,red-blue-purple,1
S072,white-green-yellow,1
S073,purple-black-red,0
S074,green-yellow-blue,1
S075,blue-white-red,1
S076,black-purple-green-yellow,0
S077,red-yellow-white,1
S078,white-blue-black,1
S079,purple-red-green,0
S080,yellow-black-blue,1
S081,green-white-purple-red,1
S082,blue-yellow-black,0
S083,white-red-green,1
S084,black-purple-yellow,1
S085,red-blue-white-green,0
S086,yellow-black-purple,1
S087,purple-white-red,1
S088,green-blue-yellow,0
S089,white-black-red,1
S090,blue-purple-green,1
S091,red-yellow-black-white,0
S092,purple-green-blue,1
S093,black-white-yellow,1
S094,white-red-purple-green,0
S095,yellow-blue-black,1
S096,green-red-white,1
S097,blue-purple-yellow-red,0
S098,black-green-white,1
S099,red-yellow-blue,1
S100,white-black-purple,0
S101,purple-red-green,1
S102,yellow-white-blue,1
S103,green-black-yellow-red,0
S104,blue-purple-white,1
S105,red-green-black,1
S106,black-yellow-purple,0
S107,white-blue-red,1
S108,purple-green-yellow,1
S109,yellow-white-black-red,0
S110,green-blue-purple,1
S111,red-black-white,1
S112,blue-yellow-green,0
S113,white-purple-red,1
S114,black-green-yellow,1
S115,purple-white-blue-red,0
S116,yellow-red-green,1
S117,green-black-white,1
S118,red-blue-yellow,0
S119,white-purple-black,1
S120,blue-red-green,1
S121,black-yellow-white-purple,0
S122,purple-green-red,1
S123,yellow-blue-black,1
S124,white-red-green,0
S125,red-black-purple,1
S126,green-yellow-white,1
S127,blue-red-black-purple,0
S128,white-yellow-green,1
S129,purple-blue-red,1
S130,black-white-yellow-green,0
S131,red-purple-black,1
S132,yellow-green-blue,1
S133,green-red-white-purple,0
S134,blue-black-yellow,1
S135,white-purple-green,1
S136,red-yellow-black,0
S137,purple-white-blue,1
S138,black-red-green,1
S139,yellow-purple-white-blue,0
S140,green-black-red,1
S141,blue-white-yellow,1
S142,red-green-purple,0
S143,white-black-yellow,1
S144,purple-red-blue,1
S145,black-white-green-red,0
S146,yellow-purple-black,1
S147,green-blue-white,1
S148,red-black-yellow,0
S149,blue-white-purple,1
S150,white-red-green,1
S151,purple-yellow-black-blue,0
S152,black-red-white,1
S153,yellow-green-purple,1
S154,green-blue-red,0
S155,white-black-yellow,1
S156,red-purple-green,1
S157,blue-white-black-yellow,0
S158,purple-red-white,1
S159,yellow-black-blue,1
S160,black-white-purple,0
S161,green-yellow-red,1
S162,white-blue-black,1
S163,red-green-yellow-purple,0
S164,blue-white-red,1
S165,purple-black-green,1
S166,yellow-red-white,0
S167,black-blue-yellow,1
S168,white-purple-green,1
S169,red-black-white-blue,0
S170,green-yellow-purple,1
S171,blue-red-black,1
S172,purple-white-yellow,0
S173,black-green-red,1
S174,white-blue-purple,1
S175,yellow-black-red-green,0
S176,red-white-blue,1
S177,green-purple-black,1
S178,blue-yellow-white,0
S179,purple-red-green,1
S180,black-white-yellow,1
S181,red-blue-purple-black,0
S182,white-green-red,1
S183,yellow-black-blue,1
S184,green-white-purple,0
S185,blue-red-yellow,1
S186,purple-black-white,1
S187,black-red-green-yellow,0
S188,white-blue-purple,1
S189,red-yellow-black,1
S190,green-white-red,0
S191,blue-black-purple,1
S192,purple-red-yellow,1
S193,yellow-white-black,0
S194,black-blue-green,1
S195,white-red-purple,1
S196,red-yellow-blue-green,0
S197,green-black-white,1
S198,blue-purple-red,1
S199,purple-yellow-green,0
S200,white-black-red,1
S201,yellow-blue-white,1
S202,black-red-purple-green,0
S203,red-white-yellow,1
S204,green-blue-black,1
S205,blue-purple-white-red,0
S206,white-black-yellow,1
S207,purple-red-green,1
S208,yellow-blue-black,0
S209,green-white-red,1
S210,black-purple-yellow,1
